+1  1:25 2:322 3:187
+1  1:30 2:324 3:191
+1  1:35 2:328 3:195
+1  1:40 2:331 3:200
+1  1:45 2:334 3:203
+1  1:50 2:337 3:207
+1  1:55 2:338 3:211
+1  1:60 2:341 3:214
+1  1:65 2:345 3:233
+1  1:70 2:561 3:710
+1  1:75 2:725 3:810
+1  1:80 2:815 3:847
+1  1:85 2:861 3:861
+1  1:90 2:887 3:869
+1  1:95 2:905 3:877
+1  1:100 2:915 3:882
+1  1:105 2:920 3:884
+1  1:110 2:923 3:885
+1  1:115 2:924 3:886
+1  1:120 2:926 3:888
+1  1:125 2:925 3:888
+1  1:130 2:926 3:889
+1  1:135 2:923 3:888
+1  1:140 2:923 3:888
+1  1:145 2:926 3:891
+1  1:150 2:925 3:892
+1  1:155 2:926 3:891
+1  1:160 2:924 3:891
+1  1:165 2:921 3:890
+1  1:170 2:921 3:888
+1  1:175 2:920 3:888
+1  1:180 2:921 3:889
+1  1:185 2:920 3:891
+1  1:190 2:917 3:888
+1  1:195 2:920 3:889
+1  1:200 2:917 3:887
+1  1:205 2:918 3:888
+1  1:210 2:919 3:889
+1  1:215 2:920 3:891
+1  1:220 2:921 3:892
+1  1:225 2:921 3:893
+1  1:230 2:920 3:891
+1  1:235 2:921 3:893
+1  1:240 2:920 3:891
+1  1:245 2:919 3:890
+1  1:250 2:919 3:893
+1  1:255 2:918 3:891
+1  1:260 2:919 3:892
+1  1:265 2:918 3:891
+1  1:270 2:919 3:892
+1  1:275 2:919 3:892
+1  1:280 2:916 3:889
+1  1:285 2:914 3:889
+1  1:290 2:913 3:889
+1  1:295 2:914 3:889
+1  1:300 2:919 3:894
+1  1:305 2:919 3:893
+1  1:310 2:920 3:894
+1  1:315 2:919 3:893
+1  1:320 2:915 3:890
+1  1:325 2:912 3:887
+1  1:330 2:911 3:888
+1  1:335 2:911 3:887
+1  1:340 2:912 3:888
+1  1:345 2:913 3:888
+1  1:350 2:915 3:890
+1  1:355 2:917 3:893
+1  1:360 2:916 3:893
+1  1:365 2:913 3:890
+1  1:370 2:909 3:885
+1  1:375 2:911 3:888
+1  1:380 2:914 3:891
+1  1:385 2:917 3:893
+1  1:390 2:915 3:893
+1  1:395 2:914 3:890
+1  1:400 2:914 3:890
+1  1:405 2:909 3:884
+1  1:410 2:910 3:888
+1  1:415 2:909 3:887
+1  1:420 2:915 3:892
+1  1:425 2:920 3:895
+1  1:430 2:914 3:890
+1  1:435 2:900 3:885
+1  1:440 2:880 3:875
+1  1:445 2:858 3:869
+1  1:450 2:832 3:861
+1  1:455 2:798 3:847
+1  1:460 2:755 3:830
+1  1:465 2:707 3:809
+1  1:470 2:658 3:784
+1  1:475 2:613 3:760
+1  1:480 2:568 3:727
+1  1:485 2:527 3:690
+1  1:490 2:491 3:648
+1  1:495 2:460 3:602
+1  1:500 2:431 3:550
+1  1:505 2:411 3:501
+1  1:510 2:392 3:452
+1  1:515 2:379 3:410
+1  1:520 2:365 3:370
+1  1:525 2:353 3:333
+1  1:530 2:344 3:306
+1  1:535 2:336 3:283
+1  1:540 2:329 3:263
+1  1:545 2:326 3:247
+1  1:550 2:319 3:234
+1  1:555 2:316 3:223
+1  1:560 2:314 3:214
+1  1:565 2:309 3:207
+1  1:570 2:308 3:202
+1  1:575 2:303 3:197
+1  1:580 2:302 3:193
+1  1:585 2:301 3:189
+1  1:590 2:298 3:186
+1  1:595 2:296 3:182
+1  1:600 2:297 3:180
+1  1:605 2:294 3:176
+1  1:610 2:293 3:175
+1  1:615 2:292 3:170
+1  1:620 2:291 3:169
+1  1:625 2:289 3:168
+1  1:630 2:289 3:167
+1  1:635 2:288 3:167
+1  1:640 2:285 3:163
+1  1:645 2:287 3:163
+1  1:0 2:337 3:216
+1  1:5 2:341 3:220
+1  1:10 2:343 3:224
+1  1:15 2:346 3:228
+1  1:20 2:348 3:233
+1  1:25 2:350 3:236
+1  1:30 2:351 3:239
+1  1:35 2:354 3:243
+1  1:40 2:357 3:247
+1  1:45 2:360 3:251
+1  1:50 2:364 3:256
+1  1:55 2:365 3:260
+1  1:60 2:368 3:264
+1  1:65 2:372 3:272
+1  1:70 2:448 3:535
+1  1:75 2:617 3:741
+1  1:80 2:744 3:816
+1  1:85 2:833 3:852
+1  1:90 2:875 3:867
+1  1:95 2:897 3:876
+1  1:100 2:908 3:876
+1  1:105 2:913 3:879
+1  1:110 2:924 3:885
+1  1:115 2:927 3:887
+1  1:120 2:927 3:886
+1  1:125 2:927 3:888
+1  1:130 2:925 3:885
+1  1:135 2:923 3:885
+1  1:140 2:920 3:884
+1  1:145 2:925 3:889
+1  1:150 2:925 3:890
+1  1:155 2:925 3:890
+1  1:160 2:922 3:888
+1  1:165 2:924 3:889
+1  1:170 2:923 3:890
+1  1:175 2:923 3:889
+1  1:180 2:917 3:885
+1  1:185 2:915 3:885
+1  1:190 2:919 3:888
+1  1:195 2:919 3:887
+1  1:200 2:919 3:888
+1  1:205 2:921 3:891
+1  1:210 2:922 3:892
+1  1:215 2:920 3:891
+1  1:220 2:919 3:890
+1  1:225 2:917 3:887
+1  1:230 2:914 3:884
+1  1:235 2:918 3:889
+1  1:240 2:920 3:890
+1  1:245 2:921 3:892
+1  1:250 2:918 3:889
+1  1:255 2:917 3:889
+1  1:260 2:918 3:891
+1  1:265 2:918 3:890
+1  1:270 2:917 3:889
+1  1:275 2:915 3:889
+1  1:280 2:912 3:884
+1  1:285 2:915 3:886
+1  1:290 2:914 3:888
+1  1:295 2:911 3:884
+1  1:300 2:914 3:887
+1  1:305 2:911 3:884
+1  1:310 2:912 3:885
+1  1:315 2:912 3:886
+1  1:320 2:912 3:887
+1  1:325 2:914 3:888
+1  1:330 2:917 3:891
+1  1:335 2:917 3:891
+1  1:340 2:914 3:889
+1  1:345 2:914 3:888
+1  1:350 2:916 3:890
+1  1:355 2:913 3:887
+1  1:360 2:916 3:888
+1  1:365 2:916 3:890
+1  1:370 2:913 3:888
+1  1:375 2:916 3:889
+1  1:380 2:912 3:888
+1  1:385 2:912 3:888
+1  1:390 2:913 3:889
+1  1:395 2:914 3:889
+1  1:400 2:911 3:886
+1  1:405 2:908 3:884
+1  1:410 2:909 3:884
+1  1:415 2:908 3:884
+1  1:420 2:909 3:883
+1  1:425 2:912 3:887
+1  1:430 2:917 3:888
+1  1:435 2:911 3:886
+1  1:440 2:900 3:880
+1  1:445 2:891 3:880
+1  1:450 2:871 3:869
+1  1:455 2:853 3:863
+1  1:460 2:828 3:853
+1  1:465 2:798 3:839
+1  1:470 2:769 3:828
+1  1:475 2:734 3:812
+1  1:480 2:702 3:797
+1  1:485 2:667 3:780
+1  1:490 2:630 3:756
+1  1:495 2:597 3:734
+1  1:500 2:571 3:712
+1  1:505 2:543 3:687
+1  1:510 2:522 3:661
+1  1:515 2:498 3:634
+1  1:520 2:481 3:606
+1  1:525 2:466 3:581
+1  1:530 2:453 3:559
+1  1:535 2:439 3:533
+1  1:540 2:429 3:511
+1  1:545 2:416 3:486
+1  1:550 2:404 3:459
+1  1:555 2:394 3:435
+1  1:560 2:383 3:410
+1  1:565 2:373 3:388
+1  1:570 2:366 3:367
+1  1:575 2:359 3:348
+1  1:580 2:354 3:329
+1  1:585 2:347 3:312
+1  1:590 2:340 3:295
+1  1:595 2:336 3:282
+1  1:600 2:330 3:269
+1  1:0 2:350 3:243
+1  1:5 2:353 3:245
+1  1:10 2:357 3:249
+1  1:15 2:360 3:253
+1  1:20 2:362 3:258
+1  1:25 2:364 3:261
+1  1:30 2:368 3:266
+1  1:35 2:369 3:269
+1  1:40 2:371 3:272
+1  1:45 2:373 3:275
+1  1:50 2:374 3:279
+1  1:55 2:377 3:282
+1  1:60 2:379 3:286
+1  1:65 2:382 3:310
+1  1:70 2:573 3:714
+1  1:75 2:724 3:806
+1  1:80 2:812 3:844
+1  1:85 2:861 3:863
+1  1:90 2:888 3:871
+1  1:95 2:903 3:876
+1  1:100 2:914 3:881
+1  1:105 2:920 3:883
+1  1:110 2:927 3:887
+1  1:115 2:925 3:884
+1  1:120 2:922 3:881
+1  1:125 2:923 3:883
+1  1:130 2:926 3:886
+1  1:135 2:930 3:891
+1  1:140 2:927 3:887
+1  1:145 2:925 3:887
+1  1:150 2:924 3:888
+1  1:155 2:927 3:890
