+1 1:285 2:914 3:883
+1 1:290 2:916 3:885
+1 1:295 2:914 3:884
+1 1:300 2:916 3:889
+1 1:305 2:918 3:889
+1 1:310 2:917 3:887
+1 1:315 2:916 3:886
+1 1:320 2:915 3:887
+1 1:325 2:915 3:885
+1 1:330 2:915 3:885
+1 1:335 2:914 3:885
+1 1:340 2:914 3:885
+1 1:345 2:915 3:887
+1 1:350 2:916 3:888
+1 1:355 2:915 3:887
+1 1:360 2:915 3:889
+1 1:365 2:915 3:886
+1 1:370 2:914 3:885
+1 1:375 2:912 3:885
+1 1:380 2:910 3:883
+1 1:385 2:911 3:884
+1 1:390 2:911 3:883
+1 1:395 2:909 3:882
+1 1:400 2:911 3:883
+1 1:150 2:921 3:884
+1 1:155 2:923 3:888
+1 1:160 2:923 3:887
+1 1:165 2:922 3:887
+1 1:170 2:923 3:890
+1 1:175 2:924 3:889
+1 1:180 2:923 3:888
+1 1:185 2:922 3:889
+1 1:190 2:922 3:888
+1 1:195 2:923 3:891
+1 1:200 2:921 3:887
+1 1:205 2:922 3:889
+1 1:210 2:922 3:890
+1 1:215 2:923 3:891
+1 1:220 2:923 3:892
+1 1:225 2:918 3:887
+1 1:230 2:921 3:891
+1 1:235 2:922 3:891
+1 1:240 2:920 3:889
+1 1:245 2:918 3:889
+1 1:250 2:921 3:890
+1 1:255 2:918 3:888
+1 1:260 2:921 3:890
+1 1:265 2:916 3:888
+1 1:270 2:917 3:887
+1 1:275 2:918 3:889
+1 1:280 2:918 3:887
+1 1:285 2:918 3:888
+1 1:290 2:913 3:885
+1 1:295 2:912 3:884
+1 1:300 2:913 3:885
+1 1:305 2:914 3:886
+1 1:310 2:913 3:885
+1 1:315 2:911 3:882
+1 1:320 2:913 3:885
+1 1:325 2:912 3:884
+1 1:330 2:913 3:885
+1 1:335 2:913 3:885
+1 1:340 2:918 3:890
+1 1:345 2:913 3:885
+1 1:350 2:912 3:884
+1 1:355 2:911 3:881
+1 1:360 2:912 3:884
+1 1:365 2:912 3:884
+1 1:370 2:915 3:886
+1 1:375 2:912 3:882
+1 1:380 2:910 3:882
+1 1:385 2:911 3:884
+1 1:390 2:911 3:883
+1 1:395 2:911 3:883
+1 1:400 2:911 3:884
+1 1:150 2:922 3:885
+1 1:155 2:923 3:885
+1 1:160 2:923 3:885
+1 1:165 2:926 3:889
+1 1:170 2:926 3:891
+1 1:175 2:927 3:890
+1 1:180 2:924 3:888
+1 1:185 2:928 3:891
+1 1:190 2:923 3:888
+1 1:195 2:924 3:890
+1 1:200 2:921 3:887
+1 1:205 2:922 3:887
+1 1:210 2:920 3:885
+1 1:215 2:919 3:885
+1 1:220 2:922 3:889
+1 1:225 2:920 3:886
+1 1:230 2:922 3:888
+1 1:235 2:924 3:891
+1 1:240 2:920 3:887
+1 1:245 2:921 3:888
+1 1:250 2:922 3:888
+1 1:255 2:924 3:891
+1 1:260 2:919 3:886
+1 1:265 2:919 3:887
+1 1:270 2:916 3:883
+1 1:275 2:919 3:886
+1 1:280 2:921 3:889
+1 1:285 2:919 3:887
+1 1:290 2:919 3:887
+1 1:295 2:918 3:887
+1 1:300 2:915 3:884
+1 1:305 2:915 3:884
+1 1:310 2:914 3:883
+1 1:315 2:917 3:887
+1 1:320 2:917 3:887
+1 1:325 2:919 3:888
+1 1:330 2:920 3:889
+1 1:335 2:918 3:888
+1 1:340 2:920 3:890
+1 1:345 2:919 3:889
+1 1:350 2:915 3:886
+1 1:355 2:916 3:886
+1 1:360 2:914 3:884
+1 1:365 2:913 3:882
+1 1:370 2:913 3:884
+1 1:375 2:917 3:886
+1 1:380 2:914 3:885
+1 1:385 2:918 3:889
+1 1:390 2:917 3:888
+1 1:395 2:917 3:888
+1 1:400 2:918 3:890
+1 1:150 2:915 3:882
+1 1:155 2:915 3:881
+1 1:160 2:911 3:879
+1 1:165 2:908 3:877
+1 1:170 2:910 3:880
+1 1:175 2:914 3:881
+1 1:180 2:913 3:882
+1 1:185 2:910 3:880
+1 1:190 2:910 3:880
+1 1:195 2:909 3:879
+1 1:200 2:907 3:876
+1 1:205 2:910 3:881
+1 1:210 2:911 3:880
+1 1:215 2:910 3:880
+1 1:220 2:909 3:880
+1 1:225 2:906 3:877
+1 1:230 2:906 3:876
+1 1:235 2:907 3:879
+1 1:240 2:908 3:879
+1 1:245 2:907 3:879
+1 1:250 2:907 3:879
+1 1:255 2:907 3:878
+1 1:260 2:902 3:875
+1 1:265 2:903 3:875
+1 1:270 2:903 3:876
+1 1:275 2:906 3:879
+1 1:280 2:909 3:881
+1 1:285 2:906 3:880
+1 1:290 2:908 3:881
+1 1:295 2:904 3:878
+1 1:300 2:901 3:874
+1 1:305 2:902 3:877
+1 1:310 2:906 3:879
+1 1:315 2:908 3:883
+1 1:320 2:906 3:880
+1 1:325 2:903 3:875
+1 1:330 2:902 3:877
+1 1:335 2:906 3:881
+1 1:340 2:906 3:881
+1 1:345 2:902 3:876
+1 1:350 2:899 3:874
+1 1:355 2:903 3:877
+1 1:360 2:903 3:877
+1 1:365 2:902 3:878
+1 1:370 2:902 3:877
+1 1:375 2:900 3:876
+1 1:380 2:903 3:879
+1 1:385 2:903 3:878
+1 1:390 2:902 3:879
+1 1:395 2:902 3:877
+1 1:400 2:899 3:874
-1 1:150 2:866 3:807
-1 1:155 2:867 3:808
-1 1:160 2:865 3:809
-1 1:165 2:872 3:814
-1 1:170 2:868 3:811
-1 1:175 2:867 3:811
-1 1:180 2:866 3:810
-1 1:185 2:863 3:809
-1 1:190 2:864 3:808
-1 1:195 2:862 3:808
-1 1:200 2:866 3:812
-1 1:205 2:867 3:814
-1 1:210 2:866 3:814
-1 1:215 2:867 3:813
-1 1:220 2:864 3:811
-1 1:225 2:864 3:811
-1 1:230 2:863 3:811
-1 1:235 2:861 3:809
-1 1:240 2:859 3:807
-1 1:245 2:860 3:810
-1 1:250 2:857 3:806
-1 1:255 2:862 3:811
-1 1:260 2:863 3:813
-1 1:265 2:864 3:814
-1 1:270 2:866 3:815
-1 1:275 2:864 3:814
-1 1:280 2:862 3:813
-1 1:285 2:864 3:815
-1 1:290 2:866 3:816
-1 1:295 2:861 3:812
-1 1:300 2:859 3:810
-1 1:305 2:858 3:809
-1 1:310 2:857 3:809
-1 1:315 2:859 3:811
-1 1:320 2:860 3:811
-1 1:325 2:856 3:809
-1 1:330 2:858 3:809
-1 1:335 2:858 3:810
-1 1:340 2:861 3:813
-1 1:345 2:861 3:814
-1 1:350 2:863 3:815
-1 1:355 2:862 3:814
-1 1:360 2:862 3:814
-1 1:365 2:861 3:815
-1 1:370 2:862 3:814
-1 1:375 2:863 3:815
-1 1:380 2:861 3:815
-1 1:385 2:861 3:815
-1 1:390 2:862 3:815
-1 1:395 2:857 3:810
-1 1:400 2:857 3:811
-1 1:150 2:782 3:729
-1 1:155 2:779 3:731
-1 1:160 2:775 3:730
-1 1:165 2:771 3:729
-1 1:170 2:770 3:729
-1 1:175 2:774 3:733
-1 1:180 2:772 3:731
-1 1:185 2:770 3:729
-1 1:190 2:771 3:731
-1 1:195 2:768 3:728
-1 1:200 2:765 3:725
-1 1:205 2:764 3:725
-1 1:210 2:766 3:727
-1 1:215 2:764 3:725
-1 1:220 2:767 3:729
-1 1:225 2:771 3:733
-1 1:230 2:769 3:730
-1 1:235 2:769 3:730
-1 1:240 2:768 3:730
-1 1:245 2:766 3:728
-1 1:250 2:763 3:725
-1 1:255 2:765 3:727
-1 1:260 2:765 3:726
-1 1:265 2:762 3:725
-1 1:270 2:766 3:730
-1 1:275 2:769 3:733
